time,latitude,longitude,mean_analysed_sst
2016-01-01,-59.98,169.02,3.54
2016-01-01,-59.98,170.02,3.66
2016-01-01,-59.98,171.02,3.85
2016-01-01,-59.98,172.02,4.04
2016-01-01,-59.98,173.02,4.02
2016-01-01,-59.98,174.02,3.81
2016-01-01,-59.98,175.02,3.65
2016-01-01,-59.98,176.02,3.75
2016-01-01,-59.98,177.02,3.76
2016-01-01,-59.98,178.02,3.91
2016-01-01,-59.98,179.02,3.81
2016-01-01,-58.98,-179.98,4.97
2016-01-01,-58.98,-178.98,4.64
2016-01-01,-58.98,-177.98,4.36
2016-01-01,-58.98,-176.98,4.66
2016-01-01,-58.98,-175.98,4.45
2016-01-01,-58.98,-174.98,4.14
2016-01-01,-58.98,-173.98,4.72
2016-01-01,-58.98,-172.98,4.27
2016-01-01,-58.98,-171.98,4.24
2016-01-01,-58.98,-170.98,4.01
2016-01-01,-58.98,-169.98,4.24
2016-01-01,-58.98,-168.98,4.64
2016-01-01,-58.98,-167.98,4.41
2016-01-01,-58.98,-166.98,4.48
2016-01-01,-58.98,-165.98,4.29
2016-01-01,-58.98,-164.98,4.0
2016-01-01,-58.98,-163.98,3.81
2016-01-01,-58.98,-162.98,3.81
2016-01-01,-58.98,-161.98,4.04
2016-01-01,-58.98,-160.98,4.03
2016-01-01,-58.98,-159.98,3.84
2016-01-01,-58.98,-158.98,3.71
2016-01-01,-58.98,-157.98,3.34
2016-01-01,-58.98,-156.98,2.3
2016-01-01,-58.98,-155.98,1.9
2016-01-01,-58.98,-154.98,1.8
2016-01-01,-58.98,-153.98,2.01
2016-01-01,-58.98,-152.98,2.17
2016-01-01,-58.98,-151.98,2.15
2016-01-01,-58.98,-150.98,1.89
2016-01-01,-58.98,-149.98,1.76
2016-01-01,-58.98,-148.98,1.49
2016-01-01,-58.98,-147.98,1.99
2016-01-01,-58.98,-146.98,2.28
2016-01-01,-58.98,-145.98,2.55
2016-01-01,-58.98,-144.98,2.57
2016-01-01,-58.98,-143.98,2.95
2016-01-01,-58.98,-142.98,2.99
2016-01-01,-58.98,-141.98,3.05
2016-01-01,-58.98,-140.98,3.02
2016-01-01,-58.98,-139.98,3.12
2016-01-01,-58.98,-138.98,3.36
