whaleSharkID,Total Occurrences,organismID,identificationID,Oldest Occurrence,Newest Occurrence,HUMAN_OBSERVATION,MACHINE_OBSERVATION,sex,lifeStage (year),continent (year),publishingCountry (year),country (year),stateProvince - verbatimLocality (month year),occurrenceRemarks (eventDate),lat:decimalLatitude long:decimalLongitude (eventDate),"imageURL (license, creator)"
71513211,1,,71513211,2019-09-14,2019-09-14,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.345839 long:-86.266947 (Caribbean Sea 2019-09-14),"https://inaturalist-open-data.s3.amazonaws.com/photos/51828418/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Richard Olin Wasson), https://inaturalist-open-data.s3.amazonaws.com/photos/51828513/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Richard Olin Wasson)"
71781757,1,,71781757,2019-09-14,2019-09-14,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,One of about 15-20 that were feeding after a full moon. (2019-09-14),lat:21.59257 long:-86.401482 (Caribbean Sea 2019-09-14),"https://inaturalist-open-data.s3.amazonaws.com/photos/52046314/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Richard Olin Wasson)"
111485881,1,,111485881,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.241809 long:-86.719975 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744169/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111485483,1,,111485483,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.242609 long:-86.709675 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744173/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111481664,1,,111481664,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Salinas, Isla Mujeres, Q.R., México (Sep 2019)",Unknown,lat:21.236695 long:-86.735768 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744211/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111481639,1,,111481639,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.233649 long:-86.707959 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744184/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111481591,1,,111481591,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.240849 long:-86.693539 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744223/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111481705,1,,111481705,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.236209 long:-86.705384 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744199/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
111481743,1,,111481743,2019-09-15,2019-09-15,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Quintana Roo - Isla Mujeres, MX-QR, MX (Sep 2019)",Unknown,lat:21.229489 long:-86.68956 (Caribbean Sea 2019-09-15),"https://inaturalist-open-data.s3.amazonaws.com/photos/79744239/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: nicomarinb)"
138298487,1,,138298487,2019-09-08,2019-09-08,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.529271 long:-86.70931 (Gulf of Mexico 2019-09-08),"https://inaturalist-open-data.s3.amazonaws.com/photos/101790697/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Tieran Rosefield (she/her)), https://inaturalist-open-data.s3.amazonaws.com/photos/101791400/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Tieran Rosefield (she/her)), https://inaturalist-open-data.s3.amazonaws.com/photos/101791408/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Tieran Rosefield (she/her)), https://inaturalist-open-data.s3.amazonaws.com/photos/101790674/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Tieran Rosefield (she/her))"
75368735,1,,75368735,2019-10-21,2019-10-21,1,0,Unknown,Unknown (2019),Asia (2019),United States (2019),Philippines (2019),Cebu - Philippines (Oct 2019),Unknown,lat:9.598404 long:123.505421 (Sulu-Celebes Sea 2019-10-21),"https://inaturalist-open-data.s3.amazonaws.com/photos/54717091/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717033/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717027/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717083/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717074/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717056/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717028/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717055/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717029/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717058/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717031/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717099/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717053/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717073/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717085/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54716888/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717090/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717064/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan), https://inaturalist-open-data.s3.amazonaws.com/photos/54717051/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Ryan Yue Wah Chan)"
79153147,1,,79153147,2019-10-22,2019-10-22,1,0,Unknown,Juvenile (2019),North America (2019),United States (2019),Mexico (2019),Baja California Sur - Sea of Cortez (Oct 2019),Several juvenile whale sharkes in the water that day. We saw at least five. (2019-10-22),lat:24.179208 long:-110.377055 (Gulf of California 2019-10-22),"https://inaturalist-open-data.s3.amazonaws.com/photos/57158025/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Veronica), https://inaturalist-open-data.s3.amazonaws.com/photos/57158137/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Veronica), https://inaturalist-open-data.s3.amazonaws.com/photos/57158114/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Veronica)"
93475705,1,,93475705,2019-10-03,2019-10-03,1,0,Unknown,Unknown (2019),Africa (2019),United States (2019),Madagascar (2019),"Antsiranana - Diana, MG-AS, MG (Oct 2019)",Unknown,lat:-13.300888 long:48.15276 (Agulhas Current 2019-10-03),"https://inaturalist-open-data.s3.amazonaws.com/photos/65531065/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: denismoro87)"
119117549,1,,119117549,2019-10-27,2019-10-27,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),"Baja California Sur - Océano Pacífico, BCS, MX (Oct 2019)",Unknown,lat:24.183075 long:-110.344742 (Unknown 2019-10-27),"https://inaturalist-open-data.s3.amazonaws.com/photos/86054008/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: lary_hdz), https://inaturalist-open-data.s3.amazonaws.com/photos/86054028/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: lary_hdz)"
171704671,1,,171704671,2019-10-27,2019-10-27,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),"Baja California Sur - La Paz, B.C.S., México (Oct 2019)",Unknown,lat:24.185747 long:-110.356846 (Unknown 2019-10-27),"https://inaturalist-open-data.s3.amazonaws.com/photos/126528719/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Georgina Mora Moreno)"
202971500,1,,202971500,2019-10-14,2019-10-14,1,0,Unknown,Unknown (2019),Asia (2019),Portugal (2019),Maldives (2019),Unknown,Unknown,lat:4.196786 long:73.42555 (Unknown 2019-10-14),"https://inaturalist-open-data.s3.amazonaws.com/photos/153904505/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: rodolfoferreira)"
420998154,1,,420998154,2019-10-25,2019-10-25,1,0,Unknown,Unknown (2019),Africa (2019),United States (2019),Madagascar (2019),"Antsiranana - Diana, MG-AS, MG (Oct 2019)",Unknown,lat:-13.315131 long:48.039125 (Agulhas Current 2019-10-25),"https://inaturalist-open-data.s3.amazonaws.com/photos/330682536/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafi Amar), https://inaturalist-open-data.s3.amazonaws.com/photos/330682547/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafi Amar)"
420998178,1,,420998178,2019-10-26,2019-10-26,1,0,Unknown,Unknown (2019),Africa (2019),United States (2019),Madagascar (2019),"Antsiranana - Diana, MG-AS, MG (Oct 2019)",Unknown,lat:-13.317693 long:48.187263 (Agulhas Current 2019-10-26),"https://inaturalist-open-data.s3.amazonaws.com/photos/330682617/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafi Amar), https://inaturalist-open-data.s3.amazonaws.com/photos/330682645/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Rafi Amar)"
